issue,title,primary finding,validator comment,status,root cause (URL),size
validation-1428,Potential DOS Attack Due to High Gas Consumption with Increasing Whitelisted Users,,Insufficient proof. bytes32[] is meant for 1 user,Unsatisfactory,,14
validation-1092,Validation for taxcut,,Analyzer: [L-3] Division by zero not prevented,Unsatisfactory,,16
validation-1091,Validation Tax Cut,,Analyzer: [L-3] Division by zero not prevented,Unsatisfactory,,16
validation-1095,Validation for taxcut and maxAllowedClaimDivisor,,Analyzer: [L-3] Division by zero not prevented,Unsatisfactory,,18
validation-760,Incorrect Batch Size Handling in writeEntropyBatch2,,lastInitializedIndex is the starting point of the next batch,Unsatisfactory,,18
validation-1043,tx.origin Usage in startAirdrop,,AirDrop.sol os OOS,Unsatisfactory,,19
validation-1484,_incrementGeneration() sets Generationmintcount to zero,validation-741,Partial for inadeuate POC alleging unneeded reset leads to >10k per generation,Satisfactory,https://github.com/code-423n4/2024-07-traitforge/blob/279b2887e3d38bc219a05d332cbcb0655b2dc644/contracts/TraitForgeNft/TraitForgeNft.sol#L351,20
validation-1140,Function receive() in NukeFund doesn't check the address(0) before sending the Eth,,Low QA on address(0),Unsatisfactory,,20
validation-1290,Token ID Management and Generation Constraint Issue in `TraitForgeNft` Contract,validation-96,Will not get past generation 1,Satisfactory,https://github.com/code-423n4/2024-07-traitforge/blob/main/contracts/TraitForgeNft/TraitForgeNft.sol#L215,21
validation-1132,Incorrect Calculation of nukeFactor and forgePotential in deriveTokenParameters Function,validation-170,Could round to 0 e.g. when entropy is 999999. This report has a second issue to be deduped to #295,Satisfactory,https://github.com/code-423n4/2024-07-traitforge/blob/main/contracts/EntropyGenerator/EntropyGenerator.sol#L152,21
validation-1100,"Chain may reformed, causing financial loss",validation-770,Excess ETH stuck in contract and not refunded,Satisfactory,https://github.com/code-423n4/2024-07-traitforge/blob/279b2887e3d38bc219a05d332cbcb0655b2dc644/contracts/EntityForging/EntityForging.sol#L125-L126,21
validation-767,"inconsistencies in the initialization process writeEntropyBatch1(), writeEntropyBatch2(), and writeEntropyBatch3()",,Circumvented by require(). lastInitializedIndex is the starting point of the next batch,Unsatisfactory,,21
validation-355,Predictability of entropy value in entropygenerator.sol contract,,Low QA on unneededly expensive VRF,Unsatisfactory,,21
