issue,title,validator comment,status,size,Best
validation-117,QA Report,"FP: 3; Repeat: 4, 5; 3 Lows (Possible upgrade: 2)",Satisfactory,1,✰✰✰
validation-908,QA Report,1 Low,Unsatisfactory,2,✰✰✰
validation-868,QA Report,1 FP,Unsatisfactory,2,✰✰✰
validation-140,Gas Optimizations,No Gas Pool,Unsatisfactory,2,✰✰✰
validation-1077,QA Report,1 FP,Unsatisfactory,3,✰✰✰
validation-851,Gas Optimizations,No Gas Pool,Unsatisfactory,4,✰✰✰
validation-759,QA Report,1 FP,Unsatisfactory,5,✰✰✰
validation-676,Gas Optimizations,No Gas Pool,Unsatisfactory,5,✰✰✰
validation-646,QA Report,1 Possible Upgrade,Satisfactory,5,✰✰✰
validation-1302,QA Report,1 Low,Unsatisfactory,6,✰✰✰
validation-547,QA Report,1 Low,Unsatisfactory,6,✰✰✰
validation-58,Gas Optimizations,No Gas Pool,Unsatisfactory,6,✰✰✰
validation-31,QA Report,1 Possible Upgrade,Satisfactory,7,✰✰✰
validation-8,QA Report,1 Low (Possible Upgrade: 2),Satisfactory,9,✰✰✰
validation-1123,QA Report,1 Low,Unsatisfactory,11,✰✰✰
validation-401,Gas Optimizations,No Gas Pool,Unsatisfactory,11,✰✰✰
validation-765,QA Report,2 Lows,Unsatisfactory,12,✰✰✰
validation-919,QA Report,1 Low,Unsatisfactory,13,✰✰✰
validation-442,QA Report,1 Possible Upgrade,Satisfactory,13,✰✰✰
validation-202,Gas Optimizations,No Gas Pool,Unsatisfactory,13,✰✰✰
findings-14,QA Report,1 Possible Upgrade,Satisfactory,13,✰✰✰
validation-1365,QA Report,1 Low,Unsatisfactory,14,✰✰✰
validation-270,Gas Optimizations,No Gas Pool,Unsatisfactory,15,✰✰✰
validation-1399,Gas Optimizations,No Gas Pool,Unsatisfactory,16,✰✰✰
validation-274,QA Report,1 FP,Unsatisfactory,16,✰✰✰
validation-484,QA Report,1 FP,Unsatisfactory,17,✰✰✰
validation-1357,QA Report,1 Low,Unsatisfactory,18,✰✰✰
validation-1021,QA Report,1 Analyzer,Unsatisfactory,18,✰✰✰
validation-714,QA Report,1 Possible Upgrade,Satisfactory,18,✰✰✰
validation-245,QA Report,1 Low,Unsatisfactory,18,✰✰✰
findings-201,QA Report,"1 FP (Possible Upgrade: 1, 2, 4)",Satisfactory,18,✰✰✰
validation-1067,Gas Optimizations,No Gas Pool,Unsatisfactory,19,✰✰✰
validation-191,QA Report,1 Low,Unsatisfactory,19,✰✰✰
validation-59,QA Report,1 FP,Unsatisfactory,20,✰✰✰
validation-1467,QA Report,1 Low/FP,Unsatisfactory,22,✰✰✰
validation-1023,QA Report,1 Possible Upgrade,Satisfactory,22,✰✰✰
validation-396,QA Report,1 Low,Unsatisfactory,23,✰✰✰
validation-106,QA Report,1 Possible Upgrade,Satisfactory,23,✰✰✰
validation-73,QA Report,1 Low (Possible Upgrade: 1),Satisfactory,25,✰✰✰
validation-936,QA Report,1 FP (Possible Upgrade: 2),Satisfactory,26,✰✰✰
validation-779,QA Report,1 Low,Unsatisfactory,26,✰✰✰
validation-652,QA Report,1 Low,Unsatisfactory,26,✰✰✰
validation-1003,Gas Optimizations,No Gas Pool,Unsatisfactory,27,✰✰✰
validation-280,QA Report,1 Generic,Unsatisfactory,27,✰✰✰
validation-47,QA Report,1 Possible Upgrade,Satisfactory,27,✰✰✰
validation-634,Gas Optimizations,No Gas Pool,Unsatisfactory,28,✰✰✰
validation-1271,QA Report,1 Low (Possible Upgrade: 2),Unsatisfactory,32,✰✰✰
validation-1034,QA Report,Generic: 1; 1 Low,Unsatisfactory,32,✰✰✰
validation-1001,Gas Optimizations,No Gas Pool,Unsatisfactory,33,✰✰✰
